Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
118,Arrowtown Easy Living,"67 McDonnell Road, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.947382,168.832572,67 McDonnell Road,4.0,2.0,2.0,167.2,512.0,none
119,Vendors + Purchased = High Motivation!,"22 Nairn Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-4.494056,168.838404,22 Nairn Street,3.0,2.0,1.0,138.2,448.0,none
120,Realise Your Piece of the Exceptional,"Ti Kouka, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.072474,168.739998,Ti Kouka,4.0,2.0,2.0,0.0,0.0,none
121,Good as New - on a Great Garden!,"59 Howards Drive, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-45.001607,168.786238,59 Howards Drive,4.0,2.0,2.0,247.2,784.0,1519000.0
122,Brand new and ready to go,"10 Coopworth Road, Hanley's Farm, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.065042,16.875187,10 Coopworth Road,4.0,2.0,0.0,207.2,507.0,1525000.0
123,A Home You Want to Own - MUST be sold,"8 Thomas Lane, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.983455,168.677922,8 Thomas Lane,3.0,2.0,6.0,0.0,1076.0,1529000.0
124,"Location, Liftsyle & 365 V.A","24A Suburb Street, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.033805,168.670167,24A Suburb Street,4.0,2.0,2.0,251.2,0.0,1549000.0
125,"Elevated position, plenty of space","4 Thomas Lane, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.983091,168.678217,4 Thomas Lane,4.0,2.0,2.0,211.2,981.0,1549000.0
126,Opportunity awaits its new owner,"92 Thompson Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035745,168.646294,92 Thompson Street,3.0,1.0,0.0,110.2,695.0,none
127,Your Arrowtown Lifestyle awaits!,"35 Devon Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.944277,168.841196,35 Devon Street,3.0,3.0,1.0,218.2,617.0,1575000.0
128,Rare subdividable waterfront get-away!,"9 Churchill Street, Kingston, Queenstown-Lakes",Kingston,Queenstown-Lakes,-4.533461,168.720882,9 Churchill Street,2.0,1.0,0.0,70.2,1869.0,none
129,Standing proud,"12 Hood Crescent, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.947701,168.838026,12 Hood Crescent,5.0,2.0,4.0,216.2,652.0,1580000.0
130,A cut above the rest!,"53 Spur Ridge Rise, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.067225,168.754314,53 Spur Ridge Rise,4.0,2.0,2.0,236.2,786.0,none
131,PIN ULTIMATE LOCATION!!,"208 Butel Villa, Millbrook Resort, Arrowtown, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.943761,168.822105,208 Butel Villa,2.0,2.0,0.0,0.0,0.0,1600000.0
132,This property has options!,"45 Middleton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-0.450187,168.707312,45 Middleton Road,4.0,3.0,2.0,193.2,391.0,none
133,"Investors! Dual income property, central Frankton","8 Gray Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.016835,168.730266,8 Gray Street,5.0,2.0,1.0,195.2,559.0,1620000.0
134,Family Home with Stunning Views in Jack's Point,"8 Falconer Rise, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.072556,168.749942,8 Falconer Rise,3.0,2.0,5.0,200.2,700.0,none
135,Ahead of its' time and seriously selling,"6 Soudley Court, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.077841,168.743939,6 Soudley Court,3.0,2.0,2.0,207.2,344.0,none
136,Comfort and Warmth on Centennial,"56 Centennial Avenue, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.947277,168.840345,56 Centennial Avenue,3.0,2.0,4.0,275.2,511.0,1775000.0
137,"Big Opportunity, Bigger Garage!","8 St Peters Place, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-4.502617,168.685744,8 St Peters Place,4.0,2.0,6.0,263.2,618.0,none
138,Stylish Arrowtown offering,"73 Cotter Avenue, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.948479,168.835008,73 Cotter Avenue,5.0,4.0,5.0,171.2,901.0,none
139,A Private Family Lifestyle Awaits You,"4 Arran Lane, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.078658,168.747116,4 Arran Lane,3.0,2.0,2.0,203.2,629.0,none
140,"Investment Opportunity, Jacks Point Village","80 McAdam Drive, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.078205,168.747159,80 McAdam Drive,3.0,2.0,2.0,114.2,0.0,none
141,Spacious lifestyle on 847m2 in Jacks Point,"6 Jacks Point Rise, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.076963,168.754522,6 Jacks Point Rise,3.0,2.0,2.0,202.2,847.0,1995000.0
142,Protected Reserve setting in Jack's Point,"11 Torridon Court, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.072811,168.747026,11 Torridon Court,4.0,3.0,2.0,219.2,838.0,1995000.0
143,"Priced to Sell at $295,000 below CV","22 Dublin Street, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.032077,168.670448,22 Dublin Street,3.0,3.0,1.0,190.2,610.0,1995000.0
144,Airbnb Development Site With Water Views,"22 Lomond Crescent, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-4.503474,168.647708,22 Lomond Crescent,4.0,1.0,2.0,130.2,1102.0,none
145,Sensational Family Home Selling Now,"33 Ferry Hill Drive, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-44.997319,168.752203,33 Ferry Hill Drive,4.0,2.0,2.0,230.2,1742.0,2000000.0
146,Prime Waterfront Property,"247 Frankton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.015927,168.727539,247 Frankton Road,2.0,1.0,0.0,250.2,1199.0,none
147,High Density Development Site in Queenstown CBD,"18 Fryer Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.025478,168.659261,18 Fryer Street,4.0,2.0,5.0,150.2,809.0,none
148,A once in a generation opportunity,"58 Riverside Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.031164,168.742381,58 Riverside Road,3.0,2.0,2.0,140.2,1015.0,none
149,Astute investment at the heart of town,"907-908 The Beacon, 34 Lake Esplanade, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.034991,168.653026,907-908 The Beacon,3.0,3.0,3.0,155.2,0.0,none
150,"8 Redwood Court, Queenstown","8 Redwood Court, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.045649,168.689632,8 Redwood Court,4.0,2.0,2.0,0.0,593.0,none
151,Lakefront Living in Kelvin Heights,"26 Cedar Drive, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.047439,16.868541,26 Cedar Drive,3.0,2.0,2.0,380.2,857.0,none
152,High Performance Home in Hanley's Farm!,"35  Jack Hanley Drive – Hanley’s Farm, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.065103,168.751643,35  Jack Hanley Drive – Hanley’s Farm,4.0,3.0,2.0,281.2,748.0,2200000.0
153,"Villa 4, 70 Lake Esplanade, Queenstown","70 Lake Esplanade, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035921,168.650466,70 Lake Esplanade,3.0,2.0,1.0,0.0,0.0,2275000.0
154,Immaculate Living,"52 Cunninghams Drive, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.068087,168.748028,52 Cunninghams Drive,4.0,2.0,2.0,232.2,645.0,none
155,Premium Arrowtown,"24B Hertford Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.940555,168.834179,24B Hertford Street,3.0,2.0,1.0,164.2,516.0,none
156,"Kelvin Heights, lakeside living","415 Peninsula Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.038134,16.869734,415 Peninsula Road,4.0,2.0,2.0,240.2,822.0,none
157,Versatile contemporary living in Arrowtown,"8 Bracken Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.946776,168.836193,8 Bracken Street,5.0,3.0,2.0,270.2,529.0,none
158,Sought after living with numerous options,"11 Glenfiddich Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.075717,168.754076,11 Glenfiddich Road,5.0,3.0,2.0,239.2,738.0,none
159,Sensational Single Level,"2 Wanderer Lane, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.070907,168.750183,2 Wanderer Lane,4.0,2.0,2.0,233.2,723.0,none
160,Near New Luxury Villa - 365 Night VA Consent!,"5 Woods Lane, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.019988,168.701728,5 Woods Lane,4.0,3.0,2.0,256.2,309.0,none
161,Spectacular Lake view Villa 204 in Silver Creek,"Lot 203 Highline Road, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.020138,168.701123,Lot 203 Highline Road,3.0,3.0,4.0,254.2,450.0,2500000.0
162,Your elevated lifestyle awaits you,"Lot 207 Highline Road, Silver Creek, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.020138,168.701123,Lot 207 Highline Road,3.0,4.0,4.0,254.2,450.0,2500000.0
163,Brand New in Arrowtown,"16 Ritchie Street, Arrowtown, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.943516,168.831149,16 Ritchie Street,3.0,2.0,4.0,223.2,594.0,none
164,Opportunity knocking,"14A Angelo Drive, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.018043,168.710851,14A Angelo Drive,6.0,6.0,2.0,314.2,356.0,none
165,"Magnificent views, stunning opportunity","14B Angelo Drive, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.018043,168.710851,14B Angelo Drive,6.0,6.0,2.0,326.2,606.0,none
166,"Naturally, Your Next Jacks Point Oasis","11 McKenzies Shute, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.065737,168.755431,11 McKenzies Shute,4.0,4.0,2.0,216.2,734.0,none
167,Creekside at Silver Creek,"Highline Road, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.020138,168.701123,Highline Road,3.0,4.0,4.0,254.2,0.0,2500000.0
168,A Queenstown landmark,"2, 4 and 6, 20 Suburb Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.026279,168.746827,2,4.0,4.0,0.0,257.2,0.0,2590000.0
169,New architectural villa with rental opportunities,"9 Powder Terrace, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.980978,168.685724,9 Powder Terrace,4.0,3.0,1.0,211.2,486.0,none
170,Time to sell - Retirement is calling,"8 Elizabeth Place, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.039838,168.696884,8 Elizabeth Place,4.0,2.0,2.0,270.2,1151.0,none
171,Opportunity Knocks In Queenstown,"37 Man Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.031758,168.657045,37 Man Street,3.0,2.0,1.0,110.2,533.0,none
172,Introducing Cottonwood Villas,"21 Devon Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.943544,168.840454,21 Devon Street,4.0,4.0,1.0,210.2,311.0,none
173,A Queenstown Oasis,"21 McBride Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.017453,168.730768,21 McBride Street,3.0,2.0,2.0,304.2,828.0,2795000.0
174,"Sun, privacy and 2.4ha of lifestyle","28 Moonlight Track, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.988258,168.666836,28 Moonlight Track,4.0,3.0,3.0,224.2,24400.0,2800000.0
175,Gibbston Gold! Multiple Properties & Options!,"6, 8 & 10C Coal Pit Road, Gibbston, Queenstown-Lakes",Gibbston,Queenstown-Lakes,-45.028675,168.662897,6,5.0,3.0,4.0,344.2,4477.0,none
176,The Holidaymaker,"23 Olivers Place, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.027467,168.683949,23 Olivers Place,4.0,4.0,2.0,319.2,441.0,none
177,The Height of Luxury,"4B Lynch Lane, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.016794,168.711273,4B Lynch Lane,4.0,2.0,5.0,285.2,357.0,none
178,Luxury living at the Crest,"Hallenstein Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032519,168.668742,Hallenstein Street,2.0,3.0,1.0,164.2,0.0,2869000.0
179,A Sunny Oasis within a Gated Community,"5 Scenic Drive, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.034855,168.653877,5 Scenic Drive,3.0,2.0,2.0,240.2,5045.0,2880000.0
180,"Views, location, and potential","19 Hay Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.031779,168.656189,19 Hay Street,4.0,2.0,4.0,200.2,405.0,2895000.0
181,A Hidden Treasure in Quail Rise,"20 Sledmere Drive, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.000227,168.753587,20 Sledmere Drive,4.0,3.0,2.0,282.2,2037.0,none
182,THE DEAL,"8 Kahiwi Drive, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.002496,168.770516,8 Kahiwi Drive,3.0,2.0,0.0,291.2,2230.0,2990000.0
183,The Perfect Queenstown Getaway,"10B Malaghan Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.028847,168.664619,10B Malaghan Street,3.0,2.0,3.0,230.2,253.0,none
184,Unparalleled opulence and breathtaking views,"108 Wynyard Crescent, Fernhill, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035867,168.634625,108 Wynyard Crescent,5.0,5.0,4.0,360.2,203.0,none
185,Your dream home awaits!,"4 Old Homestead Place, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.028959,168.729943,4 Old Homestead Place,4.0,3.0,2.0,276.2,685.0,none
186,"752 Malaghans Road, Queenstown","752 Malaghans Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.946631,168.770885,752 Malaghans Road,4.0,2.0,2.0,200.2,40000.0,none
187,Brand new home with panoramic lake views,"22 Middleton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.019487,168.707862,22 Middleton Road,3.0,3.0,2.0,228.2,383.0,3200000.0
188,Entertain in Style,"1 Advance Terrace, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.950359,168.839085,1 Advance Terrace,4.0,2.0,2.0,322.2,712.0,none
189,337sqm Luxury Freehold Townhouse,"810/108 Wynyard Crescent, Fernhill, Queenstown-Lakes",Fernhill,Queenstown-Lakes,-45.035893,168.634089,810/108 Wynyard Crescent,5.0,5.0,0.0,337.2,203.0,3350000.0
190,The Very Best,"6 May Lane, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.948617,168.837347,6 May Lane,5.0,5.0,6.0,475.2,1240.0,3395000.0
191,Beautiful Bayonet,"5 Bayonet Peak Place, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.030788,168.663175,5 Bayonet Peak Place,4.0,3.0,2.0,361.2,4133.0,3495000.0
192,One of a kind! - Bespoke Design with Income,"3 Closeburn Road, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032857,168.660627,3 Closeburn Road,6.0,4.0,6.0,412.2,4089.0,none
193,The Ideal Tonic,"6 Earnslaw Terrace, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.033483,168.675616,6 Earnslaw Terrace,5.0,3.0,1.0,298.2,488.0,none
194,Tom's House - 2016 Small Home of the Year,"14 Caithness Court, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.077126,168.752098,14 Caithness Court,3.0,2.0,2.0,158.2,1073.0,none
195,IMMACULATE - SINGLE LEVEL LIVING,"5 Ogilvie Lane, Millbrook Resort, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.949711,168.814325,5 Ogilvie Lane,3.0,2.0,1.0,198.2,626.0,none
196,Rural Arrowtown Hideaway,"150 Centennial Avenue, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.955787,16.884524,150 Centennial Avenue,5.0,3.0,2.0,341.2,4719.0,none
197,"Prime Location, Spacious Home and Income!","560 Peninsula Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.042832,168.691707,560 Peninsula Road,5.0,4.0,2.0,286.2,789.0,none
198,Pure Potential in Millbrook,"4 Orchard Hill, Millbrook Resort, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-4.494331,168.824666,4 Orchard Hill,4.0,3.0,2.0,218.2,1114.0,none
199,"Highly sought-after, tightly held","20 Brisbane Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035234,168.664988,20 Brisbane Street,4.0,3.0,2.0,300.2,568.0,3950000.0
200,"Views, sun and privacy","134 Alpine Retreat Road, Closeburn, Queenstown-Lakes",Closeburn,Queenstown-Lakes,-45.048117,168.597454,134 Alpine Retreat Road,5.0,4.0,0.0,280.2,5040.0,none
201,Designed to Impress on Every Level,"4 Northview Terrace, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.029684,168.728496,4 Northview Terrace,3.0,3.0,2.0,285.2,0.0,4095000.0
202,"11 Advance Terrace, Arrowtown","11 Advance Terrace, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.950853,168.840168,11 Advance Terrace,6.0,4.0,3.0,0.0,915.0,none
203,The Gibbston Retreat - Riverside,"2139 Gibbston Highway, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.021529,168.955379,2139 Gibbston Highway,4.0,4.0,2.0,414.2,24700.000000000004,4190000.0
204,Brand New and Beautiful,"8 Spring Hill Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.036556,168.703246,8 Spring Hill Road,4.0,3.0,2.0,297.2,2052.0,none
205,Your slice of paradise,"6 Red Deer Rise, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.036995,168.703769,6 Red Deer Rise,4.0,2.0,2.0,297.2,1563.0,none
206,Perfect Position on Lake Hayes,"42 Central Park Avenue, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-44.965694,168.810266,42 Central Park Avenue,4.0,2.0,2.0,280.2,4000.0,none
207,Thompson Street Trifecta!,"90, 92, 94 Thompson Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035745,168.646294,90,6.0,3.0,0.0,0.0,2125.0,none
208,Queenstown CBD Penthouses,"Unit 7 and 8 Penthouses, 20 Suburb Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.033898,168.670212,Unit 7 and 8 Penthouses,4.0,4.0,0.0,322.2,0.0,4450000.0
209,SUPERB MILLBROOK OPPORTUNITY,"1-4 SETTLERS, SETTLERS WAY, MILLBROOK, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.949489,16.882265,1-4 SETTLERS,3.0,3.0,1.0,281.2,0.0,none
210,Irresistible opportunity!,"705 Peninsula Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.045882,168.683222,705 Peninsula Road,5.0,3.0,3.0,440.2,1196.0,none
211,Waterfront on World Famous Lake Hayes!,"97 Arrowtown-Lake Hayes Road, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-44.975548,1.688166,97 Arrowtown-Lake Hayes Road,3.0,2.0,1.0,120.2,782.0,none
212,Massive Development Opportunity!,"466 Frankton - Ladies Mile Highway, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-44.999598,168.784198,466 Frankton - Ladies Mile Highway,4.0,3.0,2.0,350.2,9503.0,none
213,A True Alpine Retreat,"15 Summit Lane, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.029682,168.655868,15 Summit Lane,4.0,2.0,4.0,334.2,6084.0,none
214,Peninsula Perfection,"513 Peninsula Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.041022,168.693298,513 Peninsula Road,4.0,3.0,2.0,0.0,890.0,none
215,"Unique setting, numerous opportunities!","352 Morven Ferry Road, Arrow Junction, Queenstown-Lakes",Arrow Junction,Queenstown-Lakes,-45.003625,168.869759,352 Morven Ferry Road,5.0,3.0,2.0,0.0,219899.99999999997,none
216,"Impressive Style, Lake Access and Privacy","3 Bayonet Peak Place, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.100353,168.754524,3 Bayonet Peak Place,4.0,2.0,6.0,455.2,4029.0,none
217,Luxury on the Lakefront,"48 Lake Avenue, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.021913,168.731789,48 Lake Avenue,5.0,3.0,4.0,555.2,1012.0,none
218,Ultimate Queenstown Waterfront,"15 Loop Road, Kelvin Peninsula, Queenstown-Lakes",Kelvin Peninsula,Queenstown-Lakes,-45.028938,168.717691,15 Loop Road,6.0,3.0,2.0,344.2,1082.0,none
219,"Te Ra Apartments, Queenstown","3 Turner Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-4.502932,168.662327,3 Turner Street,3.0,2.0,1.0,220.2,0.0,none
220,"293a Lower Shotover Road, Queenstown","293a Lower Shotover Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.978388,168.757514,293a Lower Shotover Road,5.0,4.0,6.0,380.2,20000.0,5950000.0
221,Heritage house with land development potential,"47 Maxs Way, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.003009,168.767793,47 Maxs Way,6.0,3.0,0.0,342.2,20600.0,none
222,ENVIABLE ESTATE,"1 THE AVENUE, Millbrook Resort, Arrowtown, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.949711,168.814325,1 THE AVENUE,3.0,3.0,4.0,310.2,1213.0,none
223,Private Retreat in Dalefield,"508 Malaghans Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-4.495468,168.743647,508 Malaghans Road,6.0,2.0,2.0,439.2,10800.0,6750000.0
224,"1 Ayrshire Lane, Queenstown","1 Ayrshire Lane, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.980344,168.765344,1 Ayrshire Lane,4.0,4.0,5.0,0.0,10000.0,none
225,Extraordinary - Perfection in Paradise,"673 Glenorchy-Queenstown Road, Closeburn, Queenstown-Lakes",Closeburn,Queenstown-Lakes,-45.057651,168.576072,673 Glenorchy-Queenstown Road,4.0,4.0,2.0,287.2,28000.0,none
226,Punatapu Estate,"Punatapu, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.068785,168.529259,Punatapu,6.0,6.0,0.0,370.2,95600.0,none
227,"93c Slope Hill Road, Queenstown","93C Slopehill Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.977692,168.773431,93C Slopehill Road,5.0,4.0,4.0,0.0,40000.0,none
228,"The Elms Penthouse, Lake Hayes","3/23 Arrowtown-Lake Hayes Road, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-44.984153,168.815727,3/23 Arrowtown-Lake Hayes Road,3.0,3.0,2.0,552.2,0.0,none
229,"275 Littles Road, Queenstown","275 Littles Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-4.497799,168.713149,275 Littles Road,4.0,4.0,2.0,0.0,42400.0,none
230,"Domain Road, Queenstown","3/130 Domain Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.981234,168.755597,3/130 Domain Road,4.0,4.0,3.0,0.0,0.0,none
231,Queenstown-Consented Development Site,"117 Arthurs Point Road, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.981547,168.680749,117 Arthurs Point Road,1.0,1.0,0.0,0.0,41200.0,none
232,"8 Bendemeer Lane, Lake Hayes-Arrowtown","8 Bendemeer Lane, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-44.972161,168.829232,8 Bendemeer Lane,4.0,4.0,3.0,590.2,0.0,none
233,Pristine and Prestigious,"2 Todd Lane, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-44.969296,168.826248,2 Todd Lane,4.0,5.0,2.0,466.2,37200.0,none
234,"98 Domain Road, Queenstown","98 Domain Road, Dalefield, Queenstown-Lakes",Dalefield,Queenstown-Lakes,-44.982211,168.760258,98 Domain Road,4.0,3.0,5.0,0.0,21400.0,none
235,Thomas House - A Queenstown Masterpiece,"90 Park Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035682,168.668617,90 Park Street,4.0,4.0,0.0,451.2,2150.0,none
236,Architectural Masterpiece and Entertainers Haven,"10 Pinnacle Place, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.029113,168.670855,10 Pinnacle Place,6.0,6.0,6.0,1350.2,1875.0,35000000.0
